Bulan,Product Name,Customer Name,Jenis Produk,Total Penjualan
1,Côte de Blaye,Simons bistro,Beverages,10540
1,Côte de Blaye,Mère Paillarde,Beverages,10329.2
1,Côte de Blaye,Great Lakes Food Market,Beverages,7905
1,Côte de Blaye,Königlich Essen,Beverages,7905
1,Gnocchi di nonna Alice,Rattlesnake Canyon Grocery,Grains/Cereals,3268
1,Ikura,Ernst Handel,Seafood,3100
1,Raclette Courdavault,Ernst Handel,Dairy Products,3080
1,Raclette Courdavault,Suprêmes délices,Dairy Products,2750
1,Tarte au sucre,Rattlesnake Canyon Grocery,Confections,2465
1,Raclette Courdavault,Ricardo Adocicados,Dairy Products,2310
1,Vegie-spread,Ernst Handel,Condiments,2281.5
1,Raclette Courdavault,LILA-Supermercado,Dairy Products,2200
1,Côte de Blaye,Santé Gourmet,Beverages,2108
1,Thüringer Rostbratwurst,Eastern Connection,Meat/Poultry,2079
1,Camembert Pierrot,Ernst Handel,Dairy Products,2040
1,Gumbär Gummibärchen,Königlich Essen,Confections,1811.34
1,Gnocchi di nonna Alice,Old World Delicatessen,Grains/Cereals,1672
1,Alice Mutton,White Clover Markets,Meat/Poultry,1638
1,Camembert Pierrot,Richter Supermarkt,Dairy Products,1632
1,Wimmers gute Semmelknödel,QUICK-Stop,Grains/Cereals,1596
1,Tarte au sucre,La maison d'Asie,Confections,1576
1,Carnarvon Tigers,LINO-Delicateses,Seafood,1562.5
1,Alice Mutton,Bottom-Dollar Markets,Meat/Poultry,1560
1,Gravad lax,Save-a-lot Markets,Seafood,1560
1,Mishi Kobe Niku,Wellington Importadora,Meat/Poultry,1552
1,Camembert Pierrot,Save-a-lot Markets,Dairy Products,1530
1,Rössle Sauerkraut,Queen Cozinha,Produce,1528.8
1,Chai,Save-a-lot Markets,Beverages,1440
1,Alice Mutton,Ernst Handel,Meat/Poultry,1404
1,Mozzarella di Giovanni,Reggiani Caseifici,Dairy Products,1392
1,Tarte au sucre,Folies gourmandes,Confections,1379
1,Carnarvon Tigers,White Clover Markets,Seafood,1250
1,Thüringer Rostbratwurst,Berglunds snabbköp,Meat/Poultry,1237.9
1,Tarte au sucre,Königlich Essen,Confections,1232.5
1,Vegie-spread,Hungry Owl All-Night Grocers,Condiments,1228.5
1,Flotemysost,Save-a-lot Markets,Dairy Products,1182.5
1,Gnocchi di nonna Alice,Suprêmes délices,Grains/Cereals,1140
1,Boston Crab Meat,Königlich Essen,Seafood,1104
1,Raclette Courdavault,Bottom-Dollar Markets,Dairy Products,1100
1,Gumbär Gummibärchen,Berglunds snabbköp,Confections,1093.05
1,Gustaf's Knäckebröd,Ernst Handel,Grains/Cereals,1092
1,Flotemysost,Rattlesnake Canyon Grocery,Dairy Products,1032
1,Camembert Pierrot,Tradição Hipermercados,Dairy Products,1020
1,Wimmers gute Semmelknödel,Ernst Handel,Grains/Cereals,997.5
1,Wimmers gute Semmelknödel,Frankenversand,Grains/Cereals,997.5
1,Thüringer Rostbratwurst,Tradição Hipermercados,Meat/Poultry,990.32
1,Tarte au sucre,Great Lakes Food Market,Confections,986
1,Inlagd Sill,LINO-Delicateses,Seafood,950
1,Ipoh Coffee,Victuailles en stock,Beverages,920
1,Chang,QUICK-Stop,Beverages,912
1,Gnocchi di nonna Alice,Ernst Handel,Grains/Cereals,912
1,Lakkalikööri,Old World Delicatessen,Beverages,900
