Product Name,Unit in Stock,reorder level
Chang,17,25
Aniseed Syrup,13,25
Chef Anton's Gumbo Mix,0,0
Queso Cabrales,22,30
Alice Mutton,0,0
Sir Rodney's Scones,3,5
Thüringer Rostbratwurst,0,0
Nord-Ost Matjeshering,10,15
Gorgonzola Telino,0,20
Mascarpone Fabioli,9,25
Gravad lax,11,25
Ipoh Coffee,17,25
Rogede sild,5,15
Chocolade,15,25
Maxilaku,10,15
Perth Pasties,0,0
Gnocchi di nonna Alice,21,30
Wimmers gute Semmelknödel,22,30
Louisiana Hot Spiced Okra,4,20
Scottish Longbreads,6,15
Outback Lager,15,30
Longlife Tofu,4,5
